date,phc_id,medicine_id,stock,patient_footfall,temperature,disease_cases,day_of_week,month,lag_1,lag_7,rolling_mean_7,daily_consumption
2025-02-12,PHC001,MED001,588,118,21.5,26,2,2,125.0,81.0,113.71428571428571,99
2025-02-13,PHC001,MED001,468,121,30.1,22,3,2,99.0,99.0,116.28571428571429,120
2025-02-14,PHC001,MED001,367,121,26.0,30,4,2,120.0,102.0,119.28571428571429,101
2025-02-15,PHC001,MED001,696,157,26.7,39,5,2,101.0,121.0,119.14285714285714,187
2025-02-16,PHC001,MED001,1251,138,33.1,39,6,2,187.0,138.0,128.57142857142858,183
2025-02-17,PHC001,MED001,1130,127,35.0,30,0,2,183.0,130.0,135.0,121
2025-02-18,PHC001,MED001,994,135,33.9,22,1,2,121.0,125.0,133.71428571428572,136
2025-02-19,PHC001,MED001,889,107,26.0,23,2,2,136.0,99.0,135.28571428571428,105
2025-02-20,PHC001,MED001,767,128,34.8,33,3,2,105.0,120.0,136.14285714285714,122
2025-02-21,PHC001,MED001,625,140,34.4,29,4,2,122.0,101.0,136.42857142857142,142
2025-02-22,PHC001,MED001,1240,151,30.8,37,5,2,142.0,187.0,142.28571428571428,180
2025-02-23,PHC001,MED001,1068,142,20.9,43,6,2,180.0,183.0,141.28571428571428,172
2025-02-24,PHC001,MED001,943,112,27.2,29,0,2,172.0,121.0,139.71428571428572,125
2025-02-25,PHC001,MED001,834,105,32.8,31,1,2,125.0,136.0,140.28571428571428,109
2025-02-26,PHC001,MED001,744,119,32.9,30,2,2,109.0,105.0,136.42857142857142,90
2025-02-27,PHC001,MED001,618,135,20.6,27,3,2,90.0,122.0,134.28571428571428,126
2025-02-28,PHC001,MED001,490,133,28.5,36,4,2,126.0,142.0,134.85714285714286,128
2025-03-01,PHC001,MED001,708,142,24.0,33,5,3,128.0,180.0,132.85714285714286,149
2025-03-02,PHC001,MED001,576,125,24.7,27,6,3,149.0,172.0,128.42857142857142,132
2025-03-03,PHC001,MED001,466,108,34.9,9,0,3,132.0,125.0,122.71428571428571,110
2025-03-04,PHC001,MED001,1076,124,24.0,32,1,3,110.0,109.0,120.57142857142857,140
2025-03-05,PHC001,MED001,973,102,26.6,25,2,3,140.0,90.0,125.0,103
2025-03-06,PHC001,MED001,874,102,34.8,24,3,3,103.0,126.0,126.85714285714286,99
2025-03-07,PHC001,MED001,796,97,34.0,21,4,3,99.0,128.0,123.0,78
2025-03-08,PHC001,MED001,603,156,24.0,45,5,3,78.0,149.0,115.85714285714286,193
2025-03-09,PHC001,MED001,468,116,23.2,31,6,3,193.0,132.0,122.14285714285714,135
2025-03-10,PHC001,MED001,381,102,32.8,31,0,3,135.0,110.0,122.57142857142857,87
2025-03-11,PHC001,MED001,1000,114,29.5,29,1,3,87.0,140.0,119.28571428571429,105
2025-03-12,PHC001,MED001,899,114,31.6,28,2,3,105.0,103.0,114.28571428571429,101
2025-03-13,PHC001,MED001,815,105,26.4,25,3,3,101.0,99.0,114.0,84
2025-03-14,PHC001,MED001,687,120,33.2,30,4,3,84.0,78.0,111.85714285714286,128
2025-03-15,PHC001,MED001,572,121,22.2,33,5,3,128.0,193.0,119.0,115
2025-03-16,PHC001,MED001,1167,140,33.5,38,6,3,115.0,135.0,107.85714285714286,165
2025-03-17,PHC001,MED001,1073,86,30.0,16,0,3,165.0,87.0,112.14285714285714,94
2025-03-18,PHC001,MED001,954,103,33.1,30,1,3,94.0,105.0,113.14285714285714,119
2025-03-19,PHC001,MED001,852,110,22.4,30,2,3,119.0,101.0,115.14285714285714,102
2025-03-20,PHC001,MED001,725,117,26.2,26,3,3,102.0,84.0,115.28571428571429,127
2025-03-21,PHC001,MED001,601,145,30.0,37,4,3,127.0,128.0,121.42857142857143,124
2025-03-22,PHC001,MED001,460,130,22.4,28,5,3,124.0,115.0,120.85714285714286,141
2025-03-23,PHC001,MED001,1094,117,23.0,34,6,3,141.0,165.0,124.57142857142857,136
2025-03-24,PHC001,MED001,994,102,31.9,26,0,3,136.0,94.0,120.42857142857143,100
2025-03-25,PHC001,MED001,866,118,33.0,31,1,3,100.0,119.0,121.28571428571429,128
2025-03-26,PHC001,MED001,776,126,29.6,30,2,3,128.0,102.0,122.57142857142857,90
2025-03-27,PHC001,MED001,647,139,21.7,23,3,3,90.0,127.0,120.85714285714286,129
2025-03-28,PHC001,MED001,524,124,34.4,30,4,3,129.0,124.0,121.14285714285714,123
2025-03-29,PHC001,MED001,962,139,24.7,27,5,3,123.0,141.0,121.0,172
2025-03-30,PHC001,MED001,800,139,33.5,34,6,3,172.0,136.0,125.42857142857143,162
2025-03-31,PHC001,MED001,675,118,32.1,23,0,3,162.0,100.0,129.14285714285714,125
2025-04-01,PHC001,MED001,579,101,31.1,14,1,4,125.0,128.0,132.71428571428572,96
2025-04-02,PHC001,MED001,471,129,29.3,42,2,4,96.0,90.0,128.14285714285714,108
2025-04-03,PHC001,MED001,388,110,33.5,25,3,4,108.0,129.0,130.71428571428572,83
2025-04-04,PHC001,MED001,664,113,28.3,24,4,4,83.0,123.0,124.14285714285714,122
2025-04-05,PHC001,MED001,543,100,30.2,30,5,4,122.0,172.0,124.0,121
2025-04-06,PHC001,MED001,842,120,20.0,28,6,4,121.0,162.0,116.71428571428571,147
2025-04-07,PHC001,MED001,736,121,29.1,38,0,4,147.0,125.0,114.57142857142857,106
2025-04-08,PHC001,MED001,631,129,31.9,29,1,4,106.0,96.0,111.85714285714286,105
2025-04-09,PHC001,MED001,506,138,29.9,32,2,4,105.0,108.0,113.14285714285714,125
2025-04-10,PHC001,MED001,383,136,34.3,32,3,4,125.0,83.0,115.57142857142857,123
2025-04-11,PHC001,MED001,815,115,32.1,33,4,4,123.0,122.0,121.28571428571429,111
2025-04-12,PHC001,MED001,687,135,26.8,27,5,4,111.0,121.0,119.71428571428571,128
2025-04-13,PHC001,MED001,542,146,30.8,32,6,4,128.0,147.0,120.71428571428571,145
2025-04-14,PHC001,MED001,1146,124,33.4,35,0,4,145.0,106.0,120.42857142857143,136
2025-04-15,PHC001,MED001,1021,115,26.4,26,1,4,136.0,105.0,124.71428571428571,125
2025-04-16,PHC001,MED001,879,148,23.7,35,2,4,125.0,125.0,127.57142857142857,142
2025-04-17,PHC001,MED001,781,124,32.0,26,3,4,142.0,123.0,130.0,98
2025-04-18,PHC001,MED001,720,76,33.4,8,4,4,98.0,111.0,126.42857142857143,61
2025-04-19,PHC001,MED001,585,113,27.6,23,5,4,61.0,128.0,119.28571428571429,135
2025-04-20,PHC001,MED001,472,115,27.1,35,6,4,135.0,145.0,120.28571428571429,113
2025-04-21,PHC001,MED001,359,114,29.6,32,0,4,113.0,136.0,115.71428571428571,113
2025-04-22,PHC001,MED001,272,96,21.2,21,1,4,113.0,125.0,112.42857142857143,87
2025-04-23,PHC001,MED001,587,112,24.8,31,2,4,87.0,142.0,107.0,103
2025-04-24,PHC001,MED001,472,112,23.2,25,3,4,103.0,98.0,101.42857142857143,115
2025-04-25,PHC001,MED001,848,103,27.0,28,4,4,115.0,61.0,103.85714285714286,123
2025-04-26,PHC001,MED001,701,142,30.4,40,5,4,123.0,135.0,112.71428571428571,147
2025-04-27,PHC001,MED001,1199,147,25.7,30,6,4,147.0,113.0,114.42857142857143,187
2025-04-28,PHC001,MED001,1066,115,32.5,20,0,4,187.0,113.0,125.0,133
2025-04-29,PHC001,MED001,965,91,32.0,20,1,4,133.0,87.0,127.85714285714286,101
2025-04-30,PHC001,MED001,846,104,25.8,25,2,4,101.0,103.0,129.85714285714286,119
2025-05-01,PHC001,MED001,740,101,30.9,17,3,5,119.0,115.0,132.14285714285714,106
2025-05-02,PHC001,MED001,663,86,33.6,27,4,5,106.0,123.0,130.85714285714286,77
2025-05-03,PHC001,MED001,569,113,21.3,24,5,5,77.0,147.0,124.28571428571429,94
2025-05-04,PHC001,MED001,934,145,24.9,37,6,5,94.0,187.0,116.71428571428571,167
2025-05-05,PHC001,MED001,839,102,25.7,32,0,5,167.0,133.0,113.85714285714286,95
2025-05-06,PHC001,MED001,755,86,20.3,21,1,5,95.0,101.0,108.42857142857143,84
2025-05-07,PHC001,MED001,713,52,25.2,7,2,5,84.0,119.0,106.0,42
2025-05-08,PHC001,MED001,640,93,34.2,18,3,5,42.0,106.0,95.0,73
2025-05-09,PHC001,MED001,519,115,22.3,29,4,5,73.0,77.0,90.28571428571429,121
2025-05-10,PHC001,MED001,1057,147,30.5,33,5,5,121.0,94.0,96.57142857142857,154
2025-05-11,PHC001,MED001,934,118,34.5,34,6,5,154.0,167.0,105.14285714285714,123
2025-05-12,PHC001,MED001,842,89,28.7,24,0,5,123.0,95.0,98.85714285714286,92
2025-05-13,PHC001,MED001,742,132,33.6,30,1,5,92.0,84.0,98.42857142857143,100
2025-05-14,PHC001,MED001,589,139,32.5,36,2,5,100.0,42.0,100.71428571428571,153
2025-05-15,PHC001,MED001,489,115,24.5,36,3,5,153.0,73.0,116.57142857142857,100
2025-05-16,PHC001,MED001,416,89,20.6,24,4,5,100.0,121.0,120.42857142857143,73
2025-05-17,PHC001,MED001,811,110,21.0,25,5,5,73.0,154.0,113.57142857142857,120
2025-05-18,PHC001,MED001,674,130,34.4,33,6,5,120.0,123.0,108.71428571428571,137
2025-05-19,PHC001,MED001,598,96,30.6,16,0,5,137.0,92.0,110.71428571428571,76
2025-05-20,PHC001,MED001,480,124,32.1,34,1,5,76.0,100.0,108.42857142857143,118
2025-05-21,PHC001,MED001,386,98,26.5,23,2,5,118.0,153.0,111.0,94
2025-05-22,PHC001,MED001,304,102,21.3,31,3,5,94.0,100.0,102.57142857142857,82
2025-05-23,PHC001,MED001,508,123,27.0,28,4,5,82.0,73.0,100.0,110
2025-05-24,PHC001,MED001,850,122,27.3,26,5,5,110.0,120.0,105.28571428571429,139
2025-05-25,PHC001,MED001,700,136,33.2,29,6,5,139.0,137.0,108.0,150
2025-05-26,PHC001,MED001,596,103,21.3,37,0,5,150.0,76.0,109.85714285714286,104
2025-05-27,PHC001,MED001,493,111,31.4,22,1,5,104.0,118.0,113.85714285714286,103
2025-05-28,PHC001,MED001,398,94,21.4,14,2,5,103.0,94.0,111.71428571428571,95
2025-05-29,PHC001,MED001,865,118,24.6,37,3,5,95.0,82.0,111.85714285714286,104
2025-05-30,PHC001,MED001,723,106,28.3,17,4,5,104.0,110.0,115.0,142
2025-05-31,PHC001,MED001,592,122,24.6,34,5,5,142.0,139.0,119.57142857142857,131
2025-06-01,PHC001,MED001,1052,155,34.3,35,6,6,131.0,150.0,118.42857142857143,193
2025-06-02,PHC001,MED001,949,118,27.3,32,0,6,193.0,104.0,124.57142857142857,103
2025-06-03,PHC001,MED001,882,74,21.5,14,1,6,103.0,103.0,124.42857142857143,67
2025-06-04,PHC001,MED001,757,118,22.7,32,2,6,67.0,95.0,119.28571428571429,125
2025-06-05,PHC001,MED001,614,116,28.3,26,3,6,125.0,104.0,123.57142857142857,143
2025-06-06,PHC001,MED001,535,112,33.0,25,4,6,143.0,142.0,129.14285714285714,79
2025-06-07,PHC001,MED001,795,133,26.6,28,5,6,79.0,131.0,120.14285714285714,134
2025-06-08,PHC001,MED001,635,143,32.9,34,6,6,134.0,193.0,120.57142857142857,160
2025-06-09,PHC001,MED001,523,118,30.3,22,0,6,160.0,103.0,115.85714285714286,112
2025-06-10,PHC001,MED001,976,130,34.2,39,1,6,112.0,67.0,117.14285714285714,132
2025-06-11,PHC001,MED001,881,120,31.9,30,2,6,132.0,125.0,126.42857142857143,95
2025-06-12,PHC001,MED001,795,117,26.8,35,3,6,95.0,143.0,122.14285714285714,86
2025-06-13,PHC001,MED001,677,125,29.3,35,4,6,86.0,79.0,114.0,118
2025-06-14,PHC001,MED001,551,112,34.2,22,5,6,118.0,134.0,119.57142857142857,126
2025-06-15,PHC001,MED001,742,141,22.6,33,6,6,126.0,160.0,118.42857142857143,147
2025-06-16,PHC001,MED001,627,123,30.3,35,0,6,147.0,112.0,116.57142857142857,115
2025-06-17,PHC001,MED001,505,115,32.9,27,1,6,115.0,132.0,117.0,122
2025-06-18,PHC001,MED001,380,124,24.0,32,2,6,122.0,95.0,115.57142857142857,125
2025-06-19,PHC001,MED001,295,95,21.7,24,3,6,125.0,86.0,119.85714285714286,85
2025-06-20,PHC001,MED001,884,116,24.0,31,4,6,85.0,118.0,119.71428571428571,116
2025-06-21,PHC001,MED001,702,136,28.5,31,5,6,116.0,126.0,119.42857142857143,182
2025-06-22,PHC001,MED001,568,130,30.3,35,6,6,182.0,147.0,127.42857142857143,134
2025-06-23,PHC001,MED001,489,80,21.2,14,0,6,134.0,115.0,125.57142857142857,79
2025-06-24,PHC001,MED001,1153,130,24.8,33,1,6,79.0,122.0,120.42857142857143,128
2025-06-25,PHC001,MED001,1059,121,28.8,25,2,6,128.0,125.0,121.28571428571429,94
2025-06-26,PHC001,MED001,945,140,32.3,36,3,6,94.0,85.0,116.85714285714286,114
2025-06-27,PHC001,MED001,829,103,26.6,28,4,6,114.0,116.0,121.0,116
2025-06-28,PHC001,MED001,671,122,26.5,47,5,6,116.0,182.0,121.0,158
2025-06-29,PHC001,MED001,559,95,24.8,18,6,6,158.0,134.0,117.57142857142857,112
2025-01-08,PHC001,MED002,433,118,24.7,31,2,1,87.0,78.0,88.14285714285714,68
2025-01-09,PHC001,MED002,339,130,23.4,32,3,1,68.0,88.0,86.71428571428571,94
2025-01-10,PHC001,MED002,267,108,22.3,33,4,1,94.0,66.0,87.57142857142857,72
2025-01-11,PHC001,MED002,705,143,30.6,34,5,1,72.0,112.0,88.42857142857143,103
2025-01-12,PHC001,MED002,573,140,25.8,35,6,1,103.0,104.0,87.14285714285714,132
2025-01-13,PHC001,MED002,475,130,33.2,29,0,1,132.0,82.0,91.14285714285714,98
2025-01-14,PHC001,MED002,409,105,34.0,27,1,1,98.0,87.0,93.42857142857143,66
2025-01-15,PHC001,MED002,350,86,24.2,21,2,1,66.0,68.0,90.42857142857143,59
2025-01-16,PHC001,MED002,829,133,22.2,39,3,1,59.0,94.0,89.14285714285714,96
2025-01-17,PHC001,MED002,771,101,31.4,25,4,1,96.0,72.0,89.42857142857143,58
2025-01-18,PHC001,MED002,673,156,23.6,48,5,1,58.0,103.0,87.42857142857143,98
2025-01-19,PHC001,MED002,586,110,26.2,34,6,1,98.0,132.0,86.71428571428571,87
2025-01-20,PHC001,MED002,497,130,34.8,36,0,1,87.0,98.0,80.28571428571429,89
2025-01-21,PHC001,MED002,404,120,22.3,22,1,1,89.0,66.0,79.0,93
2025-01-22,PHC001,MED002,323,113,21.5,32,2,1,93.0,59.0,82.85714285714286,81
2025-01-23,PHC001,MED002,975,118,33.7,27,3,1,81.0,96.0,86.0,93
2025-01-24,PHC001,MED002,895,115,27.0,27,4,1,93.0,58.0,85.57142857142857,80
2025-01-25,PHC001,MED002,789,145,30.4,35,5,1,80.0,98.0,88.71428571428571,106
2025-01-26,PHC001,MED002,714,108,25.7,32,6,1,106.0,87.0,89.85714285714286,75
2025-01-27,PHC001,MED002,634,105,31.4,33,0,1,75.0,89.0,88.14285714285714,80
2025-01-28,PHC001,MED002,545,111,33.8,34,1,1,80.0,93.0,86.85714285714286,89
2025-01-29,PHC001,MED002,426,139,26.5,34,2,1,89.0,81.0,86.28571428571429,119
2025-01-30,PHC001,MED002,340,127,30.4,35,3,1,119.0,93.0,91.71428571428571,86
2025-01-31,PHC001,MED002,262,118,31.9,28,4,1,86.0,80.0,90.71428571428571,78
2025-02-01,PHC001,MED002,839,145,28.5,40,5,2,78.0,106.0,90.42857142857143,128
2025-02-02,PHC001,MED002,746,135,29.1,36,6,2,128.0,75.0,93.57142857142857,93
2025-02-03,PHC001,MED002,656,130,23.5,25,0,2,93.0,80.0,96.14285714285714,90
2025-02-04,PHC001,MED002,577,103,30.0,21,1,2,90.0,89.0,97.57142857142857,79
2025-02-05,PHC001,MED002,494,104,21.1,24,2,2,79.0,119.0,96.14285714285714,83
2025-02-06,PHC001,MED002,898,156,24.5,33,3,2,83.0,86.0,91.0,129
2025-02-07,PHC001,MED002,827,109,25.8,29,4,2,129.0,78.0,97.14285714285714,71
2025-02-08,PHC001,MED002,763,120,28.6,30,5,2,71.0,128.0,96.14285714285714,64
2025-02-09,PHC001,MED002,645,110,29.9,23,6,2,64.0,93.0,87.0,118
2025-02-10,PHC001,MED002,567,111,30.3,34,0,2,118.0,90.0,90.57142857142857,78
2025-02-11,PHC001,MED002,496,110,33.6,22,1,2,78.0,79.0,88.85714285714286,71
2025-02-12,PHC001,MED002,427,108,29.1,35,2,2,71.0,83.0,87.71428571428571,69
2025-02-13,PHC001,MED002,345,131,30.8,27,3,2,69.0,129.0,85.71428571428571,82
2025-02-14,PHC001,MED002,264,99,29.4,16,4,2,82.0,71.0,79.0,81
2025-02-15,PHC001,MED002,828,119,28.7,27,5,2,81.0,64.0,80.42857142857143,110
2025-02-16,PHC001,MED002,709,154,24.9,46,6,2,110.0,118.0,87.0,119
2025-02-17,PHC001,MED002,644,119,25.5,32,0,2,119.0,78.0,87.14285714285714,65
2025-02-18,PHC001,MED002,552,102,22.5,25,1,2,65.0,71.0,85.28571428571429,92
2025-02-19,PHC001,MED002,484,96,33.1,28,2,2,92.0,69.0,88.28571428571429,68
2025-02-20,PHC001,MED002,396,120,21.1,24,3,2,68.0,82.0,88.14285714285714,88
2025-02-21,PHC001,MED002,332,104,26.0,22,4,2,88.0,81.0,89.0,64
2025-02-22,PHC001,MED002,584,142,21.4,30,5,2,64.0,110.0,86.57142857142857,111
2025-02-23,PHC001,MED002,460,139,30.1,27,6,2,111.0,119.0,86.71428571428571,124
2025-02-24,PHC001,MED002,389,90,34.1,17,0,2,124.0,65.0,87.42857142857143,71
2025-02-25,PHC001,MED002,296,121,28.4,40,1,2,71.0,92.0,88.28571428571429,93
2025-02-26,PHC001,MED002,648,123,20.9,28,2,2,93.0,68.0,88.42857142857143,102
2025-02-27,PHC001,MED002,588,85,20.7,19,3,2,102.0,88.0,93.28571428571429,60
2025-02-28,PHC001,MED002,464,163,21.7,44,4,2,60.0,64.0,89.28571428571429,124
2025-03-01,PHC001,MED002,981,150,34.2,33,5,3,124.0,111.0,97.85714285714286,139
2025-03-02,PHC001,MED002,858,146,31.1,34,6,3,139.0,124.0,101.85714285714286,123
2025-03-03,PHC001,MED002,764,127,26.1,36,0,3,123.0,71.0,101.71428571428571,94
2025-03-04,PHC001,MED002,705,118,25.6,29,1,3,94.0,93.0,105.0,59
2025-03-05,PHC001,MED002,621,127,30.3,33,2,3,59.0,102.0,100.14285714285714,84
2025-03-06,PHC001,MED002,573,74,25.4,14,3,3,84.0,60.0,97.57142857142857,48
2025-03-07,PHC001,MED002,476,120,26.8,36,4,3,48.0,124.0,95.85714285714286,97
2025-03-08,PHC001,MED002,359,120,29.0,23,5,3,97.0,139.0,92.0,117
2025-03-09,PHC001,MED002,578,135,28.5,33,6,3,117.0,123.0,88.85714285714286,116
2025-03-10,PHC001,MED002,489,123,28.8,25,0,3,116.0,94.0,87.85714285714286,89
2025-03-11,PHC001,MED002,431,104,28.9,27,1,3,89.0,59.0,87.14285714285714,58
2025-03-12,PHC001,MED002,371,107,34.8,40,2,3,58.0,84.0,87.0,60
2025-03-13,PHC001,MED002,283,108,22.0,34,3,3,60.0,48.0,83.57142857142857,88
2025-03-14,PHC001,MED002,571,98,28.8,31,4,3,88.0,97.0,89.28571428571429,76
2025-03-15,PHC001,MED002,478,133,31.2,32,5,3,76.0,117.0,86.28571428571429,93
2025-03-16,PHC001,MED002,381,106,27.7,27,6,3,93.0,116.0,82.85714285714286,97
2025-03-17,PHC001,MED002,292,125,31.7,32,0,3,97.0,89.0,80.14285714285714,89
2025-03-18,PHC001,MED002,742,126,26.9,26,1,3,89.0,58.0,80.14285714285714,95
2025-03-19,PHC001,MED002,669,113,21.6,31,2,3,95.0,60.0,85.42857142857143,73
2025-03-20,PHC001,MED002,592,110,33.5,22,3,3,73.0,88.0,87.28571428571429,77
2025-03-21,PHC001,MED002,492,122,28.8,35,4,3,77.0,76.0,85.71428571428571,100
2025-03-22,PHC001,MED002,389,128,29.0,27,5,3,100.0,93.0,89.14285714285714,103
2025-03-23,PHC001,MED002,887,149,21.7,29,6,3,103.0,97.0,90.57142857142857,137
2025-03-24,PHC001,MED002,812,99,30.8,17,0,3,137.0,89.0,96.28571428571429,75
2025-03-25,PHC001,MED002,706,130,26.8,33,1,3,75.0,95.0,94.28571428571429,106
2025-03-26,PHC001,MED002,631,108,26.4,28,2,3,106.0,73.0,95.85714285714286,75
2025-03-27,PHC001,MED002,538,102,21.0,32,3,3,75.0,77.0,96.14285714285714,93
2025-03-28,PHC001,MED002,452,118,21.4,27,4,3,93.0,100.0,98.42857142857143,86
2025-03-29,PHC001,MED002,368,104,28.4,19,5,3,86.0,103.0,96.42857142857143,84
2025-03-30,PHC001,MED002,1013,128,25.3,34,6,3,84.0,137.0,93.71428571428571,99
2025-03-31,PHC001,MED002,945,93,24.3,24,0,3,99.0,75.0,88.28571428571429,68
2025-04-01,PHC001,MED002,862,112,27.6,30,1,4,68.0,106.0,87.28571428571429,83
2025-04-02,PHC001,MED002,782,128,28.3,34,2,4,83.0,75.0,84.0,80
2025-04-03,PHC001,MED002,709,123,23.4,33,3,4,80.0,93.0,84.71428571428571,73
2025-04-04,PHC001,MED002,638,123,30.1,31,4,4,73.0,86.0,81.85714285714286,71
2025-04-05,PHC001,MED002,550,112,29.9,25,5,4,71.0,84.0,79.71428571428571,88
2025-04-06,PHC001,MED002,427,128,33.8,30,6,4,88.0,99.0,80.28571428571429,123
2025-04-07,PHC001,MED002,353,109,22.1,29,0,4,123.0,68.0,83.71428571428571,74
2025-04-08,PHC001,MED002,301,110,21.4,26,1,4,74.0,83.0,84.57142857142857,52
2025-04-09,PHC001,MED002,227,100,26.8,24,2,4,52.0,80.0,80.14285714285714,74
2025-04-10,PHC001,MED002,868,125,28.9,25,3,4,74.0,73.0,79.28571428571429,111
2025-04-11,PHC001,MED002,785,123,29.3,31,4,4,111.0,71.0,84.71428571428571,83
2025-04-12,PHC001,MED002,698,121,26.6,27,5,4,83.0,88.0,86.42857142857143,87
2025-04-13,PHC001,MED002,602,128,21.7,40,6,4,87.0,123.0,86.28571428571429,96
2025-04-14,PHC001,MED002,528,119,30.0,27,0,4,96.0,74.0,82.42857142857143,74
2025-04-15,PHC001,MED002,426,129,29.0,33,1,4,74.0,52.0,82.42857142857143,102
2025-04-16,PHC001,MED002,338,115,23.8,29,2,4,102.0,74.0,89.57142857142857,88
2025-04-17,PHC001,MED002,912,113,31.2,28,3,4,88.0,111.0,91.57142857142857,86
2025-04-18,PHC001,MED002,806,127,30.0,32,4,4,86.0,83.0,88.0,106
2025-04-19,PHC001,MED002,717,122,31.1,34,5,4,106.0,87.0,91.28571428571429,89
2025-04-20,PHC001,MED002,596,138,26.4,38,6,4,89.0,96.0,91.57142857142857,121
2025-04-21,PHC001,MED002,544,97,24.3,28,0,4,121.0,74.0,95.14285714285714,52
2025-04-22,PHC001,MED002,419,136,26.9,39,1,4,52.0,102.0,92.0,125
2025-04-23,PHC001,MED002,331,109,26.6,22,2,4,125.0,88.0,95.28571428571429,88
2025-04-24,PHC001,MED002,918,124,33.1,29,3,4,88.0,86.0,95.28571428571429,94
2025-04-25,PHC001,MED002,844,107,22.5,30,4,4,94.0,106.0,96.42857142857143,74
2025-04-26,PHC001,MED002,734,131,25.2,21,5,4,74.0,89.0,91.85714285714286,110
2025-04-27,PHC001,MED002,624,128,32.2,22,6,4,110.0,121.0,94.85714285714286,110
2025-04-28,PHC001,MED002,518,123,31.4,32,0,4,110.0,52.0,93.28571428571429,106
2025-04-29,PHC001,MED002,453,109,31.6,24,1,4,106.0,125.0,101.0,65
2025-04-30,PHC001,MED002,378,115,33.9,29,2,4,65.0,88.0,92.42857142857143,75
2025-05-01,PHC001,MED002,306,95,29.4,20,3,5,75.0,94.0,90.57142857142857,72
2025-05-02,PHC001,MED002,236,98,26.6,25,4,5,72.0,74.0,87.42857142857143,70
2025-05-03,PHC001,MED002,676,128,20.8,35,5,5,70.0,110.0,86.85714285714286,91
2025-05-04,PHC001,MED002,569,131,24.3,37,6,5,91.0,110.0,84.14285714285714,107
2025-05-05,PHC001,MED002,513,89,21.4,11,0,5,107.0,106.0,83.71428571428571,56
