date,phc_id,medicine_id,stock,daily_consumption,patient_footfall,temperature,disease_cases
14-02-2025,PHC001,MED001,367,101,121,26,30
15-02-2025,PHC001,MED001,696,187,157,26.7,39
16-02-2025,PHC001,MED001,1251,183,138,33.1,39
17-02-2025,PHC001,MED001,1130,121,127,35,30
18-02-2025,PHC001,MED001,994,136,135,33.9,22
19-02-2025,PHC001,MED001,889,105,107,26,23
20-02-2025,PHC001,MED001,767,122,128,34.8,33
21-02-2025,PHC001,MED001,625,142,140,34.4,29
22-02-2025,PHC001,MED001,1240,180,151,30.8,37
23-02-2025,PHC001,MED001,1068,172,142,20.9,43
24-02-2025,PHC001,MED001,943,125,112,27.2,29
25-02-2025,PHC001,MED001,834,109,105,32.8,31
26-02-2025,PHC001,MED001,744,90,119,32.9,30
27-02-2025,PHC001,MED001,618,126,135,20.6,27
28-02-2025,PHC001,MED001,490,128,133,28.5,36
01-03-2025,PHC001,MED001,708,149,142,24,33
02-03-2025,PHC001,MED001,576,132,125,24.7,27
03-03-2025,PHC001,MED001,466,110,108,34.9,9
04-03-2025,PHC001,MED001,1076,140,124,24,32
05-03-2025,PHC001,MED001,973,103,102,26.6,25
06-03-2025,PHC001,MED001,874,99,102,34.8,24
07-03-2025,PHC001,MED001,796,78,97,34,21
08-03-2025,PHC001,MED001,603,193,156,24,45
09-03-2025,PHC001,MED001,468,135,116,23.2,31
10-03-2025,PHC001,MED001,381,87,102,32.8,31
11-03-2025,PHC001,MED001,1000,105,114,29.5,29
12-03-2025,PHC001,MED001,899,101,114,31.6,28
13-03-2025,PHC001,MED001,815,84,105,26.4,25
14-03-2025,PHC001,MED001,687,128,120,33.2,30
15-03-2025,PHC001,MED001,572,115,121,22.2,33
16-03-2025,PHC001,MED001,1167,165,140,33.5,38
17-03-2025,PHC001,MED001,1073,94,86,30,16
18-03-2025,PHC001,MED001,954,119,103,33.1,30
19-03-2025,PHC001,MED001,852,102,110,22.4,30
20-03-2025,PHC001,MED001,725,127,117,26.2,26
21-03-2025,PHC001,MED001,601,124,145,30,37
22-03-2025,PHC001,MED001,460,141,130,22.4,28
23-03-2025,PHC001,MED001,1094,136,117,23,34
24-03-2025,PHC001,MED001,994,100,102,31.9,26
25-03-2025,PHC001,MED001,866,128,118,33,31
26-03-2025,PHC001,MED001,776,90,126,29.6,30
27-03-2025,PHC001,MED001,647,129,139,21.7,23
28-03-2025,PHC001,MED001,524,123,124,34.4,30
29-03-2025,PHC001,MED001,962,172,139,24.7,27
30-03-2025,PHC001,MED001,800,162,139,33.5,34
31-03-2025,PHC001,MED001,675,125,118,32.1,23
01-04-2025,PHC001,MED001,579,96,101,31.1,14
02-04-2025,PHC001,MED001,471,108,129,29.3,42
03-04-2025,PHC001,MED001,388,83,110,33.5,25
04-04-2025,PHC001,MED001,664,122,113,28.3,24
05-04-2025,PHC001,MED001,543,121,100,30.2,30
06-04-2025,PHC001,MED001,842,147,120,20,28
07-04-2025,PHC001,MED001,736,106,121,29.1,38
08-04-2025,PHC001,MED001,631,105,129,31.9,29
09-04-2025,PHC001,MED001,506,125,138,29.9,32
10-04-2025,PHC001,MED001,383,123,136,34.3,32
11-04-2025,PHC001,MED001,815,111,115,32.1,33
12-04-2025,PHC001,MED001,687,128,135,26.8,27
13-04-2025,PHC001,MED001,542,145,146,30.8,32
14-04-2025,PHC001,MED001,1146,136,124,33.4,35
15-04-2025,PHC001,MED001,1021,125,115,26.4,26
16-04-2025,PHC001,MED001,879,142,148,23.7,35
17-04-2025,PHC001,MED001,781,98,124,32,26
18-04-2025,PHC001,MED001,720,61,76,33.4,8
19-04-2025,PHC001,MED001,585,135,113,27.6,23
20-04-2025,PHC001,MED001,472,113,115,27.1,35
21-04-2025,PHC001,MED001,359,113,114,29.6,32
22-04-2025,PHC001,MED001,272,87,96,21.2,21
23-04-2025,PHC001,MED001,587,103,112,24.8,31
24-04-2025,PHC001,MED001,472,115,112,23.2,25
25-04-2025,PHC001,MED001,848,123,103,27,28
26-04-2025,PHC001,MED001,701,147,142,30.4,40
27-04-2025,PHC001,MED001,1199,187,147,25.7,30
28-04-2025,PHC001,MED001,1066,133,115,32.5,20
29-04-2025,PHC001,MED001,965,101,91,32,20
30-04-2025,PHC001,MED001,846,119,104,25.8,25
01-05-2025,PHC001,MED001,740,106,101,30.9,17
02-05-2025,PHC001,MED001,663,77,86,33.6,27
03-05-2025,PHC001,MED001,569,94,113,21.3,24
04-05-2025,PHC001,MED001,934,167,145,24.9,37
05-05-2025,PHC001,MED001,839,95,102,25.7,32
06-05-2025,PHC001,MED001,755,84,86,20.3,21
07-05-2025,PHC001,MED001,713,42,52,25.2,7
08-05-2025,PHC001,MED001,640,73,93,34.2,18
09-05-2025,PHC001,MED001,519,121,115,22.3,29
10-05-2025,PHC001,MED001,1057,154,147,30.5,33
11-05-2025,PHC001,MED001,934,123,118,34.5,34
12-05-2025,PHC001,MED001,842,92,89,28.7,24
13-05-2025,PHC001,MED001,742,100,132,33.6,30
14-05-2025,PHC001,MED001,589,153,139,32.5,36
15-05-2025,PHC001,MED001,489,100,115,24.5,36
16-05-2025,PHC001,MED001,416,73,89,20.6,24
17-05-2025,PHC001,MED001,811,120,110,21,25
18-05-2025,PHC001,MED001,674,137,130,34.4,33
19-05-2025,PHC001,MED001,598,76,96,30.6,16
20-05-2025,PHC001,MED001,480,118,124,32.1,34
21-05-2025,PHC001,MED001,386,94,98,26.5,23
22-05-2025,PHC001,MED001,304,82,102,21.3,31
23-05-2025,PHC001,MED001,508,110,123,27,28
24-05-2025,PHC001,MED001,850,139,122,27.3,26
25-05-2025,PHC001,MED001,700,150,136,33.2,29
26-05-2025,PHC001,MED001,596,104,103,21.3,37
27-05-2025,PHC001,MED001,493,103,111,31.4,22
28-05-2025,PHC001,MED001,398,95,94,21.4,14
29-05-2025,PHC001,MED001,865,104,118,24.6,37
30-05-2025,PHC001,MED001,723,142,106,28.3,17
31-05-2025,PHC001,MED001,592,131,122,24.6,34
01-06-2025,PHC001,MED001,1052,193,155,34.3,35
02-06-2025,PHC001,MED001,949,103,118,27.3,32
03-06-2025,PHC001,MED001,882,67,74,21.5,14
04-06-2025,PHC001,MED001,757,125,118,22.7,32
05-06-2025,PHC001,MED001,614,143,116,28.3,26
06-06-2025,PHC001,MED001,535,79,112,33,25
07-06-2025,PHC001,MED001,795,134,133,26.6,28
08-06-2025,PHC001,MED001,635,160,143,32.9,34
09-06-2025,PHC001,MED001,523,112,118,30.3,22
10-06-2025,PHC001,MED001,976,132,130,34.2,39
11-06-2025,PHC001,MED001,881,95,120,31.9,30
12-06-2025,PHC001,MED001,795,86,117,26.8,35
13-06-2025,PHC001,MED001,677,118,125,29.3,35
14-06-2025,PHC001,MED001,551,126,112,34.2,22
15-06-2025,PHC001,MED001,742,147,141,22.6,33
16-06-2025,PHC001,MED001,627,115,123,30.3,35
17-06-2025,PHC001,MED001,505,122,115,32.9,27
18-06-2025,PHC001,MED001,380,125,124,24,32
19-06-2025,PHC001,MED001,295,85,95,21.7,24
20-06-2025,PHC001,MED001,884,116,116,24,31
21-06-2025,PHC001,MED001,702,182,136,28.5,31
22-06-2025,PHC001,MED001,568,134,130,30.3,35
23-06-2025,PHC001,MED001,489,79,80,21.2,14
24-06-2025,PHC001,MED001,1153,128,130,24.8,33
25-06-2025,PHC001,MED001,1059,94,121,28.8,25
26-06-2025,PHC001,MED001,945,114,140,32.3,36
27-06-2025,PHC001,MED001,829,116,103,26.6,28
28-06-2025,PHC001,MED001,671,158,122,26.5,47
29-06-2025,PHC001,MED001,559,112,95,24.8,18
01-01-2025,PHC001,MED002,529,78,123,30.4,27
02-01-2025,PHC001,MED002,441,88,149,26.8,39
03-01-2025,PHC001,MED002,375,66,109,34.6,31
04-01-2025,PHC001,MED002,774,112,142,28.1,42
05-01-2025,PHC001,MED002,670,104,149,29.3,39
06-01-2025,PHC001,MED002,588,82,114,22,32
07-01-2025,PHC001,MED002,501,87,107,27.3,36
08-01-2025,PHC001,MED002,433,68,118,24.7,31
09-01-2025,PHC001,MED002,339,94,130,23.4,32
10-01-2025,PHC001,MED002,267,72,108,22.3,33
11-01-2025,PHC001,MED002,705,103,143,30.6,34
12-01-2025,PHC001,MED002,573,132,140,25.8,35
13-01-2025,PHC001,MED002,475,98,130,33.2,29
14-01-2025,PHC001,MED002,409,66,105,34,27
15-01-2025,PHC001,MED002,350,59,86,24.2,21
16-01-2025,PHC001,MED002,829,96,133,22.2,39
17-01-2025,PHC001,MED002,771,58,101,31.4,25
18-01-2025,PHC001,MED002,673,98,156,23.6,48
19-01-2025,PHC001,MED002,586,87,110,26.2,34
20-01-2025,PHC001,MED002,497,89,130,34.8,36
21-01-2025,PHC001,MED002,404,93,120,22.3,22
22-01-2025,PHC001,MED002,323,81,113,21.5,32
23-01-2025,PHC001,MED002,975,93,118,33.7,27
24-01-2025,PHC001,MED002,895,80,115,27,27
25-01-2025,PHC001,MED002,789,106,145,30.4,35
26-01-2025,PHC001,MED002,714,75,108,25.7,32
27-01-2025,PHC001,MED002,634,80,105,31.4,33
28-01-2025,PHC001,MED002,545,89,111,33.8,34
29-01-2025,PHC001,MED002,426,119,139,26.5,34
30-01-2025,PHC001,MED002,340,86,127,30.4,35
31-01-2025,PHC001,MED002,262,78,118,31.9,28
01-02-2025,PHC001,MED002,839,128,145,28.5,40
02-02-2025,PHC001,MED002,746,93,135,29.1,36
03-02-2025,PHC001,MED002,656,90,130,23.5,25
04-02-2025,PHC001,MED002,577,79,103,30,21
05-02-2025,PHC001,MED002,494,83,104,21.1,24
06-02-2025,PHC001,MED002,898,129,156,24.5,33
07-02-2025,PHC001,MED002,827,71,109,25.8,29
08-02-2025,PHC001,MED002,763,64,120,28.6,30
09-02-2025,PHC001,MED002,645,118,110,29.9,23
10-02-2025,PHC001,MED002,567,78,111,30.3,34
11-02-2025,PHC001,MED002,496,71,110,33.6,22
12-02-2025,PHC001,MED002,427,69,108,29.1,35
13-02-2025,PHC001,MED002,345,82,131,30.8,27
14-02-2025,PHC001,MED002,264,81,99,29.4,16
15-02-2025,PHC001,MED002,828,110,119,28.7,27
16-02-2025,PHC001,MED002,709,119,154,24.9,46
17-02-2025,PHC001,MED002,644,65,119,25.5,32
18-02-2025,PHC001,MED002,552,92,102,22.5,25
19-02-2025,PHC001,MED002,484,68,96,33.1,28
20-02-2025,PHC001,MED002,396,88,120,21.1,24
21-02-2025,PHC001,MED002,332,64,104,26,22
22-02-2025,PHC001,MED002,584,111,142,21.4,30
23-02-2025,PHC001,MED002,460,124,139,30.1,27
24-02-2025,PHC001,MED002,389,71,90,34.1,17
25-02-2025,PHC001,MED002,296,93,121,28.4,40
26-02-2025,PHC001,MED002,648,102,123,20.9,28
27-02-2025,PHC001,MED002,588,60,85,20.7,19
28-02-2025,PHC001,MED002,464,124,163,21.7,44
01-03-2025,PHC001,MED002,981,139,150,34.2,33
02-03-2025,PHC001,MED002,858,123,146,31.1,34
03-03-2025,PHC001,MED002,764,94,127,26.1,36
04-03-2025,PHC001,MED002,705,59,118,25.6,29
05-03-2025,PHC001,MED002,621,84,127,30.3,33
06-03-2025,PHC001,MED002,573,48,74,25.4,14
07-03-2025,PHC001,MED002,476,97,120,26.8,36
08-03-2025,PHC001,MED002,359,117,120,29,23
09-03-2025,PHC001,MED002,578,116,135,28.5,33
10-03-2025,PHC001,MED002,489,89,123,28.8,25
11-03-2025,PHC001,MED002,431,58,104,28.9,27
12-03-2025,PHC001,MED002,371,60,107,34.8,40
13-03-2025,PHC001,MED002,283,88,108,22,34
14-03-2025,PHC001,MED002,571,76,98,28.8,31
15-03-2025,PHC001,MED002,478,93,133,31.2,32
16-03-2025,PHC001,MED002,381,97,106,27.7,27
17-03-2025,PHC001,MED002,292,89,125,31.7,32
18-03-2025,PHC001,MED002,742,95,126,26.9,26
19-03-2025,PHC001,MED002,669,73,113,21.6,31
20-03-2025,PHC001,MED002,592,77,110,33.5,22
21-03-2025,PHC001,MED002,492,100,122,28.8,35
22-03-2025,PHC001,MED002,389,103,128,29,27
23-03-2025,PHC001,MED002,887,137,149,21.7,29
24-03-2025,PHC001,MED002,812,75,99,30.8,17
25-03-2025,PHC001,MED002,706,106,130,26.8,33
26-03-2025,PHC001,MED002,631,75,108,26.4,28
27-03-2025,PHC001,MED002,538,93,102,21,32
28-03-2025,PHC001,MED002,452,86,118,21.4,27
29-03-2025,PHC001,MED002,368,84,104,28.4,19
30-03-2025,PHC001,MED002,1013,99,128,25.3,34
31-03-2025,PHC001,MED002,945,68,93,24.3,24
01-04-2025,PHC001,MED002,862,83,112,27.6,30
02-04-2025,PHC001,MED002,782,80,128,28.3,34
03-04-2025,PHC001,MED002,709,73,123,23.4,33
04-04-2025,PHC001,MED002,638,71,123,30.1,31
05-04-2025,PHC001,MED002,550,88,112,29.9,25
06-04-2025,PHC001,MED002,427,123,128,33.8,30
07-04-2025,PHC001,MED002,353,74,109,22.1,29
08-04-2025,PHC001,MED002,301,52,110,21.4,26
09-04-2025,PHC001,MED002,227,74,100,26.8,24
10-04-2025,PHC001,MED002,868,111,125,28.9,25
11-04-2025,PHC001,MED002,785,83,123,29.3,31
12-04-2025,PHC001,MED002,698,87,121,26.6,27
13-04-2025,PHC001,MED002,602,96,128,21.7,40
14-04-2025,PHC001,MED002,528,74,119,30,27
15-04-2025,PHC001,MED002,426,102,129,29,33
16-04-2025,PHC001,MED002,338,88,115,23.8,29
17-04-2025,PHC001,MED002,912,86,113,31.2,28
18-04-2025,PHC001,MED002,806,106,127,30,32
19-04-2025,PHC001,MED002,717,89,122,31.1,34
20-04-2025,PHC001,MED002,596,121,138,26.4,38
21-04-2025,PHC001,MED002,544,52,97,24.3,28
22-04-2025,PHC001,MED002,419,125,136,26.9,39
23-04-2025,PHC001,MED002,331,88,109,26.6,22
24-04-2025,PHC001,MED002,918,94,124,33.1,29
25-04-2025,PHC001,MED002,844,74,107,22.5,30
26-04-2025,PHC001,MED002,734,110,131,25.2,21
27-04-2025,PHC001,MED002,624,110,128,32.2,22
28-04-2025,PHC001,MED002,518,106,123,31.4,32
29-04-2025,PHC001,MED002,453,65,109,31.6,24
30-04-2025,PHC001,MED002,378,75,115,33.9,29
01-05-2025,PHC001,MED002,306,72,95,29.4,20
02-05-2025,PHC001,MED002,236,70,98,26.6,25
03-05-2025,PHC001,MED002,676,91,128,20.8,35
04-05-2025,PHC001,MED002,569,107,131,24.3,37
05-05-2025,PHC001,MED002,513,56,89,21.4,11
06-05-2025,PHC001,MED002,450,63,106,31.1,15
07-05-2025,PHC001,MED002,342,108,146,28.6,39
08-05-2025,PHC001,MED002,964,93,133,26.8,20
09-05-2025,PHC001,MED002,883,81,125,30.7,28
10-05-2025,PHC001,MED002,763,120,131,26.6,32
11-05-2025,PHC001,MED002,665,98,123,25.6,30
12-05-2025,PHC001,MED002,561,104,129,31.8,28
13-05-2025,PHC001,MED002,485,76,111,21.4,26
14-05-2025,PHC001,MED002,424,61,103,33.6,24
15-05-2025,PHC001,MED002,329,95,124,28.7,27
16-05-2025,PHC001,MED002,847,86,125,25.9,38
17-05-2025,PHC001,MED002,746,101,130,28.4,30
18-05-2025,PHC001,MED002,632,114,121,34.2,35
19-05-2025,PHC001,MED002,533,99,147,21.4,36
20-05-2025,PHC001,MED002,460,73,99,34.3,29
21-05-2025,PHC001,MED002,382,78,100,22.9,32
22-05-2025,PHC001,MED002,857,101,114,27.6,26
23-05-2025,PHC001,MED002,772,85,130,20.6,23
24-05-2025,PHC001,MED002,631,141,153,22.4,41
25-05-2025,PHC001,MED002,500,131,144,32.1,28
26-05-2025,PHC001,MED002,396,104,128,23.6,25
27-05-2025,PHC001,MED002,330,66,103,31.2,27
28-05-2025,PHC001,MED002,949,108,120,27,26
29-05-2025,PHC001,MED002,875,74,122,28.6,37
30-05-2025,PHC001,MED002,795,80,124,26.3,32
31-05-2025,PHC001,MED002,684,111,137,29.1,37
01-06-2025,PHC001,MED002,581,103,128,34,27
02-06-2025,PHC001,MED002,501,80,110,21.9,21
03-06-2025,PHC001,MED002,415,86,119,32.5,24
04-06-2025,PHC001,MED002,808,119,142,32.3,41
05-06-2025,PHC001,MED002,742,66,91,23.5,28
06-06-2025,PHC001,MED002,633,109,129,20.4,32
07-06-2025,PHC001,MED002,554,79,119,22.1,24
08-06-2025,PHC001,MED002,441,113,125,30.4,40
09-06-2025,PHC001,MED002,348,93,132,21.2,32
10-06-2025,PHC001,MED002,270,78,113,28.2,37
11-06-2025,PHC001,MED002,522,72,96,24.5,27
12-06-2025,PHC001,MED002,422,100,116,29.3,36
13-06-2025,PHC001,MED002,333,89,125,29.5,25
14-06-2025,PHC001,MED002,824,101,110,24.4,23
15-06-2025,PHC001,MED002,705,119,132,21.3,26
16-06-2025,PHC001,MED002,650,55,120,27.9,29
17-06-2025,PHC001,MED002,572,78,112,27.1,23
18-06-2025,PHC001,MED002,497,75,86,23.8,10
19-06-2025,PHC001,MED002,398,99,117,29.4,24
20-06-2025,PHC001,MED002,299,99,118,25,21
21-06-2025,PHC001,MED002,728,108,137,31.7,35
22-06-2025,PHC001,MED002,587,141,148,22.7,36
23-06-2025,PHC001,MED002,491,96,132,23,34
24-06-2025,PHC001,MED002,405,86,122,24.7,20
25-06-2025,PHC001,MED002,322,83,128,20.5,34
26-06-2025,PHC001,MED002,668,93,107,32.9,23
27-06-2025,PHC001,MED002,570,98,121,33.3,33
28-06-2025,PHC001,MED002,442,128,130,25.8,21
29-06-2025,PHC001,MED002,1040,112,129,27.8,20
01-01-2025,PHC001,MED003,522,62,113,29,26
02-01-2025,PHC001,MED003,470,52,97,29.9,23
03-01-2025,PHC001,MED003,417,53,107,26.4,33
04-01-2025,PHC001,MED003,342,75,119,25.3,39
05-01-2025,PHC001,MED003,879,89,143,34.7,35
06-01-2025,PHC001,MED003,816,63,112,31.2,23
07-01-2025,PHC001,MED003,759,57,116,32.7,30
08-01-2025,PHC001,MED003,703,56,100,29.7,27
09-01-2025,PHC001,MED003,652,51,91,20.5,32
10-01-2025,PHC001,MED003,578,74,128,21.2,28
11-01-2025,PHC001,MED003,497,81,141,24.7,38
12-01-2025,PHC001,MED003,392,105,169,27.8,45
13-01-2025,PHC001,MED003,329,63,121,31.6,28
14-01-2025,PHC001,MED003,280,49,104,35,20
15-01-2025,PHC001,MED003,212,68,117,21.1,31
16-01-2025,PHC001,MED003,603,72,135,34.5,42
17-01-2025,PHC001,MED003,549,54,103,28.2,18
18-01-2025,PHC001,MED003,445,104,144,30.5,40
19-01-2025,PHC001,MED003,340,105,138,23.4,38
20-01-2025,PHC001,MED003,270,70,112,25.4,28
21-01-2025,PHC001,MED003,207,63,99,34.7,22
22-01-2025,PHC001,MED003,673,79,137,30.8,38
23-01-2025,PHC001,MED003,610,63,89,32.4,20
24-01-2025,PHC001,MED003,545,65,132,30.2,29
25-01-2025,PHC001,MED003,476,69,114,31.7,36
26-01-2025,PHC001,MED003,399,77,124,33.7,36
27-01-2025,PHC001,MED003,327,72,122,22.3,31
28-01-2025,PHC001,MED003,264,63,126,34.1,30
29-01-2025,PHC001,MED003,559,69,137,23.8,28
30-01-2025,PHC001,MED003,510,49,100,21.4,20
31-01-2025,PHC001,MED003,454,56,102,28.7,20
01-02-2025,PHC001,MED003,371,83,150,33.9,41
02-02-2025,PHC001,MED003,692,114,160,21.2,42
03-02-2025,PHC001,MED003,646,46,106,26.2,21
04-02-2025,PHC001,MED003,597,49,103,29.4,21
05-02-2025,PHC001,MED003,516,81,151,30.3,28
06-02-2025,PHC001,MED003,465,51,113,20.9,30
07-02-2025,PHC001,MED003,392,73,121,24.7,32
08-02-2025,PHC001,MED003,310,82,127,32.9,23
09-02-2025,PHC001,MED003,760,88,130,24.8,28
10-02-2025,PHC001,MED003,675,85,126,22.1,35
11-02-2025,PHC001,MED003,614,61,126,34.4,34
12-02-2025,PHC001,MED003,542,72,137,34,28
13-02-2025,PHC001,MED003,467,75,105,27,35
14-02-2025,PHC001,MED003,406,61,127,21.4,27
15-02-2025,PHC001,MED003,748,102,142,20.7,35
16-02-2025,PHC001,MED003,695,53,100,29.8,25
17-02-2025,PHC001,MED003,638,57,118,33.2,32
18-02-2025,PHC001,MED003,585,53,111,25.5,19
19-02-2025,PHC001,MED003,506,79,126,21.1,33
20-02-2025,PHC001,MED003,449,57,89,24.2,22
21-02-2025,PHC001,MED003,373,76,113,25.9,38
22-02-2025,PHC001,MED003,287,86,135,34.1,29
23-02-2025,PHC001,MED003,581,76,121,20.7,24
24-02-2025,PHC001,MED003,512,69,108,27.8,18
25-02-2025,PHC001,MED003,417,95,140,24.8,42
26-02-2025,PHC001,MED003,369,48,98,32.6,28
27-02-2025,PHC001,MED003,311,58,104,28.4,20
28-02-2025,PHC001,MED003,242,69,112,25,28
01-03-2025,PHC001,MED003,751,113,141,33.1,31
02-03-2025,PHC001,MED003,660,91,148,34.5,37
03-03-2025,PHC001,MED003,619,41,89,28.8,15
04-03-2025,PHC001,MED003,553,66,124,29.3,37
05-03-2025,PHC001,MED003,499,54,107,34.2,26
06-03-2025,PHC001,MED003,432,67,117,24.7,29
07-03-2025,PHC001,MED003,355,77,133,33.8,25
08-03-2025,PHC001,MED003,726,95,149,20.9,31
09-03-2025,PHC001,MED003,642,84,139,25.7,40
10-03-2025,PHC001,MED003,585,57,130,28,31
11-03-2025,PHC001,MED003,536,49,108,32.1,32
12-03-2025,PHC001,MED003,477,59,113,34.4,33
13-03-2025,PHC001,MED003,418,59,127,31.6,44
14-03-2025,PHC001,MED003,369,49,108,27.3,19
15-03-2025,PHC001,MED003,293,76,134,24.3,40
16-03-2025,PHC001,MED003,228,65,115,33.4,25
17-03-2025,PHC001,MED003,955,62,123,20.6,31
18-03-2025,PHC001,MED003,895,60,111,26.6,23
19-03-2025,PHC001,MED003,814,81,131,34,34
20-03-2025,PHC001,MED003,758,56,112,29.2,25
21-03-2025,PHC001,MED003,707,51,108,29.6,24
22-03-2025,PHC001,MED003,600,107,146,30.8,38
23-03-2025,PHC001,MED003,507,93,147,33.9,43
24-03-2025,PHC001,MED003,464,43,85,33.2,27
25-03-2025,PHC001,MED003,402,62,116,29.7,33
26-03-2025,PHC001,MED003,348,54,120,28.6,28
27-03-2025,PHC001,MED003,294,54,109,22.6,37
28-03-2025,PHC001,MED003,771,76,121,33.8,28
29-03-2025,PHC001,MED003,671,100,131,33.1,35
30-03-2025,PHC001,MED003,606,65,130,24.5,33
31-03-2025,PHC001,MED003,547,59,94,29.6,20
01-04-2025,PHC001,MED003,509,38,83,22,19
02-04-2025,PHC001,MED003,456,53,114,31,30
03-04-2025,PHC001,MED003,407,49,100,20.2,18
04-04-2025,PHC001,MED003,347,60,125,29.2,29
05-04-2025,PHC001,MED003,278,69,122,26.4,26
06-04-2025,PHC001,MED003,953,104,145,27.2,47
07-04-2025,PHC001,MED003,893,60,114,23.5,32
08-04-2025,PHC001,MED003,845,48,77,20.2,16
09-04-2025,PHC001,MED003,788,57,101,20.9,18
10-04-2025,PHC001,MED003,718,70,123,33.4,25
11-04-2025,PHC001,MED003,654,64,111,21.8,23
12-04-2025,PHC001,MED003,582,72,125,22,28
13-04-2025,PHC001,MED003,504,78,146,29.1,43
14-04-2025,PHC001,MED003,436,68,124,30,24
15-04-2025,PHC001,MED003,372,64,116,31.3,32
16-04-2025,PHC001,MED003,309,63,110,21.2,20
17-04-2025,PHC001,MED003,259,50,109,28.2,26
18-04-2025,PHC001,MED003,551,67,114,27.8,31
19-04-2025,PHC001,MED003,467,84,121,27.3,23
20-04-2025,PHC001,MED003,389,78,122,26.2,32
21-04-2025,PHC001,MED003,337,52,97,30.1,21
22-04-2025,PHC001,MED003,272,65,117,23.3,29
23-04-2025,PHC001,MED003,204,68,128,30.5,34
24-04-2025,PHC001,MED003,155,49,113,27.1,39
25-04-2025,PHC001,MED003,894,54,112,22,31
26-04-2025,PHC001,MED003,809,85,113,25.7,14
27-04-2025,PHC001,MED003,717,92,154,25.6,30
28-04-2025,PHC001,MED003,667,50,94,25.2,16
29-04-2025,PHC001,MED003,599,68,122,27.9,36
30-04-2025,PHC001,MED003,541,58,104,24.5,27
01-05-2025,PHC001,MED003,485,56,106,28,20
02-05-2025,PHC001,MED003,427,58,104,34.1,23
03-05-2025,PHC001,MED003,364,63,130,32.1,30
04-05-2025,PHC001,MED003,279,85,144,23.1,36
05-05-2025,PHC001,MED003,219,60,117,29,30
06-05-2025,PHC001,MED003,169,50,110,23.5,27
07-05-2025,PHC001,MED003,830,56,120,20.8,39
08-05-2025,PHC001,MED003,775,55,114,28.7,34
09-05-2025,PHC001,MED003,697,78,118,23.6,20
10-05-2025,PHC001,MED003,637,60,101,24.1,20
11-05-2025,PHC001,MED003,562,75,113,31,25
12-05-2025,PHC001,MED003,492,70,134,25.2,32
13-05-2025,PHC001,MED003,438,54,105,27.9,22
14-05-2025,PHC001,MED003,381,57,100,28.1,24
15-05-2025,PHC001,MED003,314,67,115,32.9,32
16-05-2025,PHC001,MED003,243,71,127,26.2,36
17-05-2025,PHC001,MED003,702,71,117,23.8,28
18-05-2025,PHC001,MED003,620,82,137,30.9,35
19-05-2025,PHC001,MED003,568,52,119,30.1,33
20-05-2025,PHC001,MED003,506,62,96,30.9,27
